position,name,week_start,person_type
1,Володимир Путін,2023-03-27,russian
2,Володимир Зеленський,2023-03-27,enemy
3,Джо Байден,2023-03-27,enemy
4,Дмитро Пєсков,2023-03-27,russian
5,Дональд Трамп,2023-03-27,friend
6,Олександр Лукашенко,2023-03-27,friend
7,Сі Цзіньпін,2023-03-27,friend
8,Сергій Лавров,2023-03-27,russian
9,Марія Захарова,2023-03-27,russian
10,Беньямін Нетаньягу,2023-03-27,neutral
1,Володимир Путін,2023-04-03,russian
2,Володимир Зеленський,2023-04-03,enemy
3,Владлен Татарський,2023-04-03,russian
4,Сі Цзіньпін,2023-04-03,friend
5,Дар'я Трепова,2023-04-03,russian
6,Джо Байден,2023-04-03,enemy
7,Емманюель Макрон,2023-04-03,enemy
8,Дмитро Пєсков,2023-04-03,russian
9,Ентоні Блінкен,2023-04-03,enemy
10,Дональд Трамп,2023-04-03,friend
1,Володимир Путін,2023-04-10,russian
2,Володимир Зеленський,2023-04-10,enemy
3,Джо Байден,2023-04-10,enemy
4,Дмитро Пєсков,2023-04-10,russian
5,Емманюель Макрон,2023-04-10,enemy
6,Денис Пушилін,2023-04-10,russian
7,Сергій Лавров,2023-04-10,russian
8,Сергій Шойгу,2023-04-10,russian
9,Сі Цзіньпін,2023-04-10,friend
10,Дональд Трамп,2023-04-10,friend
1,Володимир Путін,2023-04-17,russian
2,Володимир Зеленський,2023-04-17,enemy
3,Джо Байден,2023-04-17,enemy
4,Сергій Лавров,2023-04-17,russian
5,Дмитро Пєсков,2023-04-17,russian
6,Марія Захарова,2023-04-17,russian
7,Денис Пушилін,2023-04-17,russian
8,Емманюель Макрон,2023-04-17,enemy
9,Євген Пригожин,2023-04-17,russian
10,Єнс Столтенберг,2023-04-17,enemy
1,Володимир Путін,2023-04-24,russian
2,Володимир Зеленський,2023-04-24,enemy
3,Дмитро Пєсков,2023-04-24,russian
4,Джо Байден,2023-04-24,enemy
5,Сергій Лавров,2023-04-24,russian
6,Марія Захарова,2023-04-24,russian
7,Євген Пригожин,2023-04-24,russian
